DATE,SOC (%),ODO (km),KWH,CHARGE COST ($),CARPARK COST ($),REMARK
2026-05-09,88,22,,,,
2026-05-10,75,75,,,,
2026-05-12,63,105,,,,
2026-05-17,95,130,24.233,84.82,,
2026-05-18,78,188,,,,
2026-05-19,80,198,,,,
2026-05-24,73,218,,,,
2026-05-25,62,256,,,,
2026-05-30,58,272,,,,
2026-05-31,53,287,,,,
2026-06-07,46,300,,,,
2026-06-08,,,,,,
2026-06-09,,,,,,
2026-06-10,,,,,,
2026-06-11,,,,,,
2026-06-12,,,,,,
2026-06-13,,,,,,
2026-06-14,38,322,,,,
2026-06-15,83,327,30.7,70.61,19,-40
2026-06-16,,,,,,
2026-06-17,,,,,,
2026-06-18,,,,,,
2026-06-19,76,349,,,,
2026-06-20,,,,,,
2026-06-21,66,381,,,,
2026-06-22,,,,,,
2026-06-23,,,,,,
2026-06-24,,,,,,
2026-06-25,,,,,,
2026-06-26,58,418,,,,
2026-06-27,,,,,,
2026-06-28,,,,,,
2026-06-29,,,,,,
2026-06-30,48,457,,,,
2026-07-01,44,467,,,,
2026-07-02,,,,,,
2026-07-03,,,,,,
2026-07-04,,,,,,
2026-07-05,40,475,,,,
2026-07-06,,,,,,
2026-07-07,,,,,,
2026-07-08,,,,,,
2026-07-09,,,,,,
2026-07-10,98,479,39.97,91.93,,-40
2026-07-11,,,,,,
2026-07-12,91,499,,,,
2026-07-13,,,,,,
2026-07-14,,,,,,
2026-07-15,,,,,,
2026-07-16,,,,,,
2026-07-17,,,,,,
2026-07-18,,,,,,
2026-07-19,81,534,,,,
2026-07-20,,,,,,
2026-07-21,,,,,,
2026-07-22,,,,,,
2026-07-23,,,,,,
2026-07-24,,,,,,
2026-07-25,67,596,,,,
2026-07-26,56,630,,,,
2026-07-27,,,,,,
2026-07-28,,,,,,
2026-07-29,,,,,,
2026-07-30,,,,,,
2026-07-31,,,,,,
2026-08-01,,,,,,
2026-08-02,39,661,,,,
2026-08-03,37,664,,,,
2026-08-04,,,,,,
2026-08-05,,,,,,
2026-08-06,98,668,41.45,95.34,19,
2026-08-07,,,,,,
2026-08-08,85,728,,,,
2026-08-09,70,771,,,,
2026-08-10,,,,,,
2026-08-11,,,,,,
2026-08-12,,,,,,
2026-08-13,,,,,,
2026-08-14,,,,,,
2026-08-15,55,832,,,,
2026-08-16,40,874,,,,
2026-08-17,,,,,,
2026-08-18,,,,,,
2026-08-19,,,,,,
2026-08-20,,,,,,
2026-08-21,,,,,,
2026-08-22,97,881,38.98,65.5,27,
2026-08-23,83,942,,,,
2026-08-24,68,982,,,,
2026-08-25,,,,,,
2026-08-26,,,,,,
2026-08-27,,,,,,
2026-08-28,,,,,,
2026-08-29,70,1048,11.36,17.89,43,
2026-08-30,52,1103,,,,
2026-08-31,,,,,,
2026-09-01,,,,,,
2026-09-02,,,,,,
2026-09-03,,,,,,
2026-09-04,,,,,,
2026-09-05,37,1168,,,,
2026-09-06,25,1212,,,,
2026-09-07,,,,,,
2026-09-08,,,,,,
2026-09-09,,,,,,
2026-09-10,,,,,,
2026-09-11,,,,,,
2026-09-12,90,1280,49.36,140,,
2026-09-13,79,1315,,,,
2026-09-14,,,,,,
2026-09-15,,,,,,
